Acni_10311	BJBX01010311.1
Acni_23936	BJBX01023936.1
Acni_26692	BJBX01026692.1
Acni_18987	BJBX01018987.1
Acni_10839	BJBX01010839.1
Acni_11588	BJBX01011588.1
Acni_812	BJBX01000812.1
Acni_17677	BJBX01017677.1
Acni_30405	BJBX01030405.1
Acni_26643	BJBX01026643.1
Acni_35316	BJBX01035316.1
Acni_39496	BJBX01039496.1
Acni_19156	BJBX01019156.1
Acni_44515	BJBX01044515.1
Acni_15125	BJBX01015125.1
Acni_43966	BJBX01043966.1
Acni_32541	BJBX01032541.1
Acni_24964	BJBX01024964.1
Acni_44437	BJBX01044437.1
Acni_1477	BJBX01001477.1
Acni_38995	BJBX01038995.1
Acni_3341	BJBX01003341.1
Acni_29984	BJBX01029984.1
Acni_14363	BJBX01014363.1
Acni_19240	BJBX01019240.1
Acni_17134	BJBX01017134.1
Acni_15019	BJBX01015019.1
Acni_44719	BJBX01044719.1
Acni_16119	BJBX01016119.1
Acni_10552	BJBX01010552.1
Acni_30933	BJBX01030933.1
Acni_14784	BJBX01014784.1
Acni_40402	BJBX01040402.1
Acni_13878	BJBX01013878.1
Acni_39191	BJBX01039191.1
Acni_5940	BJBX01005940.1
Acni_42874	BJBX01042874.1
Acni_33451	BJBX01033451.1
Acni_36108	BJBX01036108.1
Acni_4033	BJBX01004033.1
Acni_24820	BJBX01024820.1
Acni_39867	BJBX01039867.1
Acni_24963	BJBX01024963.1
Acni_26145	BJBX01026145.1
Acni_33482	BJBX01033482.1
Acni_5949	BJBX01005949.1
Acni_19901	BJBX01019901.1
Acni_21135	BJBX01021135.1
Acni_1402	BJBX01001402.1
Acni_20923	BJBX01020923.1
Acni_8350	BJBX01008350.1
Acni_5867	BJBX01005867.1
Acni_20916	BJBX01020916.1
Acni_12004	BJBX01012004.1
Acni_11274	BJBX01011274.1
Acni_21252	BJBX01021252.1
Acni_4970	BJBX01004970.1
Acni_7570	BJBX01007570.1
Acni_43581	BJBX01043581.1
Acni_36493	BJBX01036493.1
Acni_6926	BJBX01006926.1
Acni_34311	BJBX01034311.1
Acni_1425	BJBX01001425.1
Acni_19285	BJBX01019285.1
Acni_35580	BJBX01035580.1
Acni_23128	BJBX01023128.1
Acni_25393	BJBX01025393.1
Acni_16699	BJBX01016699.1
Acni_43799	BJBX01043799.1
Acni_18483	BJBX01018483.1
Acni_36575	BJBX01036575.1
Acni_39704	BJBX01039704.1
Acni_15136	BJBX01015136.1
Acni_29020	BJBX01029020.1
Acni_2946	BJBX01002946.1
Acni_23611	BJBX01023611.1
Acni_30472	BJBX01030472.1
Acni_32879	BJBX01032879.1
Acni_15999	BJBX01015999.1
Acni_16279	BJBX01016279.1
Acni_8953	BJBX01008953.1
Acni_20223	BJBX01020223.1
Acni_18884	BJBX01018884.1
Acni_11765	BJBX01011765.1
Acni_25300	BJBX01025300.1
Acni_4238	BJBX01004238.1
Acni_29161	BJBX01029161.1
Acni_32557	BJBX01032557.1
Acni_34541	BJBX01034541.1
Acni_9840	BJBX01009840.1
Acni_14936	BJBX01014936.1
Acni_6356	BJBX01006356.1
Acni_5651	BJBX01005651.1
Acni_35094	BJBX01035094.1
Acni_15313	BJBX01015313.1
Acni_42454	BJBX01042454.1
Acni_32915	BJBX01032915.1
Acni_13691	BJBX01013691.1
Acni_21867	BJBX01021867.1
Acni_6789	BJBX01006789.1
Acni_25620	BJBX01025620.1
Acni_5033	BJBX01005033.1
Acni_25724	BJBX01025724.1
Acni_35116	BJBX01035116.1
Acni_30685	BJBX01030685.1
Acni_10931	BJBX01010931.1
Acni_17517	BJBX01017517.1
Acni_40433	BJBX01040433.1
Acni_37492	BJBX01037492.1
Acni_303	BJBX01000303.1
Acni_11443	BJBX01011443.1
Acni_9289	BJBX01009289.1
Acni_42376	BJBX01042376.1
Acni_4902	BJBX01004902.1
Acni_34063	BJBX01034063.1
Acni_31573	BJBX01031573.1
